package,mentions,example
hyperstack-cli,3,> All examples use `hs`. If installed via cargo (`cargo install hyperstack-cli`) or npm (`npm install -g hyperstack-cli`
@bithumb-official/bithumb-cli,3,- Prerequisites: install the CLI (`npm install -g @bithumb-official/bithumb-cli`); set `BITHUMB_ACCESS_KEY` / `BITHUMB_S
next-themes,3,Install next-themes: `npm install next-themes`
telnyx,3,**Server SDKs** — use these EXACT commands with version constraints (do NOT use `pip install telnyx` or `npm install tel
@x402/core,3,**Install:** `npm install @x402/core @x402/evm`
oh-my-mermaid,3,"If the install fails, tell the user: ""Please run `npm install -g oh-my-mermaid` in your terminal, then try again."""
@freshworks/fdk,3,1. Install FDK: `npm install -g @freshworks/fdk`
husky,3,"**Solution:** Run `npx husky init` again, then re-create the hook files. Verify `""prepare"": ""husky""` is in package.json "
@ast-grep/cli,3,- **ast-grep** — structural pattern matching. Install: `npm i -g @ast-grep/cli` or `brew install ast-grep`.
@onboardjs/core,3,| `pnpm-lock.yaml` | pnpm | `pnpm add @onboardjs/core @onboardjs/react` |
@onboardjs/react,3,| `pnpm-lock.yaml` | pnpm | `pnpm add @onboardjs/core @onboardjs/react` |
@dinoxx/dinox-cli,3,`npm install -g @dinoxx/dinox-cli`
@anthropic-ai/claude-agent-sdk,3,- [ ] SDK installed (`npm install @anthropic-ai/claude-agent-sdk zod`)
bsv-bap,3,A CLI is also available: `npm install -g bsv-bap` (see **`create-bap-identity`** skill).
@bong/claude-frontend-skills,3,- Claude Code → `npm install -g @bong/claude-frontend-skills`
@drupal-canvas/workbench,3,- npm: `npm install --save-dev @drupal-canvas/workbench`
@testing-library/react,3,| Vite/React/Vue | Vitest | `npm i -D vitest @testing-library/react jsdom` |
gmgn-cli,3,"- `gmgn-cli` installed globally — if missing, run: `npm install -g gmgn-cli`"
tldraw,3,"- For a stable target (`latest` or a stable semver): install at that tag/version, e.g. `yarn add tldraw@latest` or `npm "
playwriter,3,| **playwriter** | Playwright 기반 브라우저 자동화 (선택) | `npm install -g playwriter` |
@sparkjsdev/spark,3,**Fix:** Install with `npm install @sparkjsdev/spark`. Import `SplatMesh` from this package. It integrates directly into
lefthook,3,| lefthook | npm | `npx lefthook --help` | yes | install | `npm install -g lefthook` |
@xano/cli,3,- **Xano CLI** npm package: `@xano/cli` — install: `npm install -g @xano/cli`
@levnikolaevich/hex-line-mcp,3,| hex-line | stdio | `npm i -g @levnikolaevich/hex-line-mcp` → `hex-line-mcp` | Yes | No |
@syncfusion/ej2-react-inputs,3,- Installing `@syncfusion/ej2-react-inputs` 🛑 *STOP — Do not install packages autonomously. Ask the user to run: `npm in
artillery,3,| npm | `npm install -D artillery` |
mysql,3,"- If you meant **mysqljs/mysql** (`npm i mysql`) which is callback-based, jump to the `tidbx-javascript-mysqljs` skill i"
@haoxu/cli,3,| CLI 可用 | 已安装：`npm i -g @haoxu/cli@1.2.0`（或 `npx @haoxu/cli@1.2.0`） |
@liberfi.io/cli,3,asking the user: `npm install -g @liberfi.io/cli --registry https://registry.npmjs.org/`.
taze,3,- Global install: `npm install -g taze`
linearis,3,"- **Not installed** — if the shell reports command-not-found, tell the user linearis isn't installed and offer `npm inst"
@webflow/cli,3,- **Fix:** `npm install -g @webflow/cli`
unbrowse,3,"missing, install the runtime first: `npm install -g unbrowse@preview && unbrowse setup`."
mineru-open-api,2,- `npm i -g mineru-open-api` (Node.js)
some-tool,2,| 配套脚本 `init.sh`包含 `npm install -g some-tool` | ✅**需报告** | skill自动执行全局安装**未固定版本**，可能拉取被投毒的最新版本 → Suspicious             
@iansinnott/notion-cli,2,- Install notion-cli: `npm install -g @iansinnott/notion-cli`
@context-hub/cli,2,"2. Check whether `chub` is available with `command -v chub`. If it is missing, say so clearly and suggest installing it "
twilio-cli,2,| npm | `npm install -g twilio-cli` |
@sendgrid/mail,2,| Node.js | `npm install @sendgrid/mail` | `@sendgrid/mail` (v8.x) |
@ant-design/cli,2,"After running any command, if the output contains an ""Update available"" notice, run `npm install -g @ant-design/cli` to "
react-email,2,Upgrade with `npm install react-email@latest` to get these defaults.
cloudsploit,2,| CloudSploit | Cloud security scanning | `npm install -g cloudsploit` |
@microsoft/winappcli,2,- **NPM** (for Electron): `npm install @microsoft/winappcli --save-dev`
package,2,- Exact install command (`npm install package@version`)
@heroui/styles,2,- `pnpm add @heroui/styles@beta @heroui/react@beta tailwind-variants`
@heroui/react,2,- `pnpm add @heroui/styles@beta @heroui/react@beta tailwind-variants`
tailwind-variants,2,- `pnpm add @heroui/styles@beta @heroui/react@beta tailwind-variants`
@mvanhorn/printing-press,2,- **`flag-names`** — SKILL references `--foo` on a `<cli> ...` invocation but no command in `internal/cli/*.go` declares
@defillama/api,2,**JavaScript** — `npm install @defillama/api` — [GitHub](https://github.com/DefiLlama/api-sdk)
@shopify/shop-cli,2,To upgrade: `pnpm add --global @shopify/shop-cli@latest` (or `npm install --global @shopify/shop-cli@latest`). Uninstall
@actionbookdev/cli,2,"| **""actionbook: command not found""** | CLI not installed | `npm install -g @actionbookdev/cli@latest` |"
karma,2,## Setup: `npm install karma karma-jasmine karma-chrome-launcher karma-coverage --save-dev`
karma-jasmine,2,## Setup: `npm install karma karma-jasmine karma-chrome-launcher karma-coverage --save-dev`
karma-chrome-launcher,2,## Setup: `npm install karma karma-jasmine karma-chrome-launcher karma-coverage --save-dev`
karma-coverage,2,## Setup: `npm install karma karma-jasmine karma-chrome-launcher karma-coverage --save-dev`
nightwatch,2,## Setup: `npm install nightwatch --save-dev`
jasmine,2,## Setup: `npm install jasmine --save-dev && npx jasmine init`
nemo,2,## Setup: `npm install nemo nemo-view --save-dev`
nemo-view,2,## Setup: `npm install nemo nemo-view --save-dev`
mocha,2,## Setup: `npm install mocha chai sinon --save-dev`
chai,2,## Setup: `npm install mocha chai sinon --save-dev`
sinon,2,## Setup: `npm install mocha chai sinon --save-dev`
@tencent-qqmail/agently-cli,2,2. 提议执行：`npm install -g @tencent-qqmail/agently-cli`
chat,2,"- write-once-deploy-everywhere bot architecture (Vercel Chat SDK `npm i chat`, LangBot, Bottender patterns)"
@capawesome/cli,2,- **`command not found: @capawesome/cli`** — The CLI is not installed globally. Either install with `npm install -g @cap
@cloudcli-ai/cloudcli,2,"Run `npx @cloudcli-ai/cloudcli` for a local session, install globally with `npm install -g @cloudcli-ai/cloudcli && clou"
@ulpi/browse,2,> Install it with: `npm install -g @ulpi/browse`
@ulpi/codemap,2,"If `codemap` is missing, tell the user to install it with `npm install -g @ulpi/codemap` and stop. Do not install it aut"
expo,2,- Expo + pnpm: `npx expo customize babel.config.js` may crash running `pnpm add --dev babel-preset-expo` (`--dev` is not
babel-preset-expo,2,- Expo + pnpm: `npx expo customize babel.config.js` may crash running `pnpm add --dev babel-preset-expo` (`--dev` is not
kbo-game,2,- `npm install -g kbo-game`
@opendataloader/pdf,2,- npm：`npm install @opendataloader/pdf`
@inlang/paraglide-js,2,- Install Paraglide.js: `npm install @inlang/paraglide-js`
@scope/pkg,2,| Installing dependencies outside their owning package | Duplication in bundles; deduplication breaks; version conflicts
agent-slack,2,Fallback: `npm i -g agent-slack` (Node >= 22.5).
@cyfrin/aderyn,2,- **Aderyn** (recommended): `cargo install aderyn` (or `npm i -g @cyfrin/aderyn`)
@acme/sdk,2,"> To setup the SDK, first install the dependancies using npm. Run `npm install @acme/sdk` in your terminal. After instal"
@fly-ai/flyai-cli,2,1. **Install CLI**：`npm i -g @fly-ai/flyai-cli`
gopls,2,| Go         | gopls                      | `go install golang.org/x/tools/gopls@latest`               | `npx cclsp inst
clangd,2,| C/C++      | clangd                     | `brew install llvm` (macOS) / `apt install clangd` (Linux) | `npx cclsp inst
ruby-lsp,2,| Ruby       | ruby-lsp                   | `gem install ruby-lsp`                                     | `npx cclsp inst
marksman,2,| Markdown   | marksman                   | `brew install marksman` (macOS) / Download from GitHub     | `npx cclsp inst
@marp-team/marp-cli,2,| `marp-cli` | Markdown → PPT/PDF | `npm install -g @marp-team/marp-cli` |
@1claw/cli,2,> **Pin CLI version:** Always install a specific version (`@1claw/cli@0.32.1`). Running `npm install -g @1claw/cli` with
x402-axios,2,- TypeScript: `npm install x402-axios`
@nookplot/runtime,2,- **Runtime SDK** (autonomous long-running agents): `npm install @nookplot/runtime` (TypeScript) or `pip install nookplo
browserstack-local,2,1. Install BrowserStack Local: `npm install -D browserstack-local`
neon,2,"The above `init` command will install the Neon CLI, but the CLI can also be installed manually with `npm i -g neon` or `"
myapp,2,| TypeScript | npm | `npm install -g myapp` |
@midscene/computer,2,- Upgrade dependencies: `npm i @midscene/computer@latest @midscene/core@latest @midscene/shared@latest`.
@huggingface/transformers,2,- Web & Client Applications: Use `transformers.js` to run inference directly on-device or entirely in the browser. Follo
@xenova/transformers,2,- Web & Client Applications: Use `transformers.js` to run inference directly on-device or entirely in the browser. Follo
@convex-dev/stripe,2,1. Install the component: `npm install @convex-dev/stripe`.
@langchain/openai,2,- **Install:** `npm install langchain @langchain/openai`
@anthropic-ai/sdk,2,- `npm install @anthropic-ai/sdk` (Anthropic)
@tinybirdco/sdk,2,- Install: `npm install @tinybirdco/sdk`
@bradygaster/squad-cli,2,- npm: `npm install -g @bradygaster/squad-cli@latest`
@cyclonedx/cdxgen,2,| cdxgen | CycloneDX SBOM 生成 | `npm install -g @cyclonedx/cdxgen` |
promptfoo,2,| promptfoo | AI 生成攻击 + 回归测试 | `npm install -g promptfoo` |
@brightdata/cli,2,| CLI not found | Install with `npm i -g @brightdata/cli` or `curl -fsSL https://cli.brightdata.com/install.sh \| bash` 
webreel,2,"- Do **NOT** run `npm install webreel`, `npx webreel`, or any other installation command."
silk-wasm,2,Install the optional dependency: `npm install silk-wasm`
parallel-web-cli,2,3. Linux/macOS/Windows (npm): `npm install -g parallel-web-cli`
@capgo/plugin-name,2,1. Ensure plugin is installed: `npm install @capgo/plugin-name`
@capacitor/camera,2,| cordova-plugin-camera | @capacitor/camera | `npm install @capacitor/camera` |
@capacitor/geolocation,2,| cordova-plugin-geolocation | @capacitor/geolocation | `npm install @capacitor/geolocation` |
@capacitor/device,2,| cordova-plugin-device | @capacitor/device | `npm install @capacitor/device` |
@capacitor/network,2,| cordova-plugin-network-information | @capacitor/network | `npm install @capacitor/network` |
@capacitor/status-bar,2,| cordova-plugin-statusbar | @capacitor/status-bar | `npm install @capacitor/status-bar` |
@capacitor/splash-screen,2,| cordova-plugin-splashscreen | @capacitor/splash-screen | `npm install @capacitor/splash-screen` |
@capacitor/keyboard,2,| cordova-plugin-keyboard | @capacitor/keyboard | `npm install @capacitor/keyboard` |
@capacitor/dialog,2,| cordova-plugin-dialogs | @capacitor/dialog | `npm install @capacitor/dialog` |
@capacitor/filesystem,2,| cordova-plugin-file | @capacitor/filesystem | `npm install @capacitor/filesystem` |
@capacitor/browser,2,| cordova-plugin-inappbrowser | @capacitor/browser | `npm install @capacitor/browser` |
@capacitor/haptics,2,| cordova-plugin-vibration | @capacitor/haptics | `npm install @capacitor/haptics` |
@capacitor/local-notifications,2,| cordova-plugin-local-notifications | @capacitor/local-notifications | `npm install @capacitor/local-notifications` |
@capacitor/push-notifications,2,| cordova-plugin-push | @capacitor/push-notifications | `npm install @capacitor/push-notifications` |
@capacitor/plugin-name,2,- [ ] Install Capacitor plugins: `npm install @capacitor/plugin-name`
temml,2,- **temml**: `npm install temml` (LaTeX → MathML conversion for Word native math)
fast-xml-parser,2,- **fast-xml-parser**: `npm install fast-xml-parser` (MathML parsing for docx conversion)
@earendil-works/pi-coding-agent,2,1. Install pi with `npm install -g @earendil-works/pi-coding-agent`.
npm,2,4. Let the owner update npm itself: Homebrew updates a Homebrew Node/npm; only use `npm install -g npm@latest` for a sel
@larksuite/whiteboard-cli,2,> 如果执行失败，手动安装后重试：`npm install -g @larksuite/whiteboard-cli@^0.1.0`
@langchain/core,2,"- `@langchain/core` is a peer dependency, not a transitive dependency. You must install it explicitly: `npm install @lan"
my-package,2,```bash npm install my-package ```
voxflow,2,"If ANY `voxflow` command prints a `<voxflow-hint ... type=""cli-outdated"" ...>` line to stderr, IMMEDIATELY run `voxflow "
@wechatsync/cli,2,- `npm install -g @wechatsync/cli`
@commet/node,2,"| `@commet/node` | Core SDK - customers, subscriptions, usage, seats, features, portal, webhooks | `npm i @commet/node` "
@commet/next,2,"| `@commet/next` | Next.js helpers - webhook route handler, customer portal route | `npm i @commet/next` |"
@commet/better-auth,2,"| `@commet/better-auth` | Better Auth plugin - auto customer sync, auth-scoped billing | `npm i @commet/better-auth` |"
@commet/cli,2,"| `@commet/cli` | CLI - login, link project, pull types for autocomplete | `npm i -g @commet/cli` |"
@annals/agent-mesh,2,"1. Run `agent-mesh --version` — if not found, install with `npm install -g @annals/agent-mesh`"
ox,2,- The `ox` library for generating ERC-8021 suffixes: `npm install ox`
langwatch,2,2. Install the LangWatch SDK (`pip install langwatch` or `npm install langwatch`)
web-haptics,2,Install `web-haptics` (`npm i web-haptics`) and add haptic feedback to the app following these rules:
@types/node,2,| @types/* | `--save-dev` | `npm i -D @types/node` |
postmark,2,"4. Install the SDK for your language (e.g., `npm install postmark` for Node.js)"
@uipath/cli,2,"If `uip` is not found, install it with `npm install -g @uipath/cli`. If `npm` is missing, ask the user to install Node.j"
@ic-pay/icpay-sdk,2,Install: `pnpm add @ic-pay/icpay-sdk`.
@paragraph-com/sdk,2,"description: Use the Paragraph REST API or TypeScript SDK to manage posts, publications, subscribers, and coins on parag"
@covalenthq/client-sdk,2,**Install:** `npm install @covalenthq/client-sdk`
torph,2,"- **Text morphing over instant replacement.** When button labels change (e.g., ""Continue"" → ""Confirm""), animate the tran"
liveline,2,"- **Animate numbers and live charts.** Values that change (prices, counts, balances) should count/flip/morph. Commas sho"
dotenv,2,- Node.js: `npm install dotenv`
@workos/authkit-tanstack-react-start,2,**Fix:** `pnpm add @workos/authkit-tanstack-react-start`
@lessie/cli,2,3. If the command fails (not found) → attempt auto-install: `npm install -g @lessie/cli`
magicpath-ai,2,"- If the CLI is missing, install it with `npm install -g magicpath-ai` or invoke it with `npx magicpath-ai@latest`."
prettier,2,- prettier (install: `npm install -g prettier`)
@flipswitch-io/sdk,2,- **javascript (web)**: `npm install @flipswitch-io/sdk @openfeature/web-sdk`
not,2,| `npx not found` | Install Node.js: `brew install node` |
found,2,| `npx not found` | Install Node.js: `brew install node` |
fizko-cli,2,"If the output says ""No autenticado"", tell the user to run `fizko login` and wait for them. If `fizko` is not found, tell"
@angular/cdk,2,- **Angular CDK**: Obligatorio para overlays y accesibilidad (`pnpm add @angular/cdk`).
@base-ui/react,2,"2. If that fails, update the conflicting dep: `npm install @base-ui/react@latest`"
uipro-cli,2,"- On failure → ""Hit a snag. You can try manually later: `npm install -g uipro-cli && uipro init --ai claude`. Let's keep"
@angular/aria,2,Install via `npm install @angular/aria`.
@codespring-app/cli,2,- **CLI installed**: `npm i -g @codespring-app/cli` or use `npx @codespring-app/cli`
canvas,2,- **node-canvas** (`npm install canvas`) — used for adding text overlays to slide images. This is a native module that m
@lucasygu/redbook,2,**OpenClaw users:** Install via `clawhub install redbook` or `npm install -g @lucasygu/redbook`.
vanish-cli,2,Upload files to get temporary public URLs. Install with `npm i -g vanish-cli` or use `npx vanish-cli`.
@zvec/zvec,2,- **Local search requires @zvec/zvec** — install with `npm install @zvec/zvec` before using index/search.
counselors,2,- **counselors not installed**: Tell the user to install it (`npm install -g counselors`)
chrome-remote-interface,2,| Module not found | `npm install -g chrome-remote-interface` |
k-skill-rhwp,2,- 전역: `npm install -g k-skill-rhwp`
bananatape,2,- BananaTape CLI: `npm install -g bananatape` or `npx bananatape ...`
elestio,2,"This skill uses the **official Elestio CLI** (`elestio` command, installed via `npm install -g elestio`)."
wattpm,2,3. Install: `npm install wattpm` (or use `npx wattpm`)
zerion,2,"compatibility: ""Requires zerion (`npx zerion` or `npm install -g zerion`). Set ZERION_API_KEY. Trading requires OWS wall"
@grimoirelabs/cli,2,- Global CLI: `npm i -g @grimoirelabs/cli`
@enonic/nextjs-adapter,2,3. Install the `@enonic/nextjs-adapter` package if not already present. Use the version matching the Next.js version: `n
polizy,2,| Critical | Install package | `npm install polizy` |
ic-mops,2,- For Motoko canisters: `npm i -g ic-mops` and `moc` version defined in `mops.toml` (templates include this; for manual 
@heydovetail/dt,2,"1. `dt` is installed — if not, run `npm install -g @heydovetail/dt`"
pilcrow-ink,2,0. Make sure the pilcrow CLI is available. The commands run the `pilcrow` binary. If `pilcrow` isn't found (and `npx pil
animate.css,2,"If the user has a Tailwind or CSS Modules setup, note they can also `npm install animate.css` and `import 'animate.css'`"
markdownlint-cli2,2,"**Solution:** Run `npm install` or use npx: `npx markdownlint-cli2 ""**/*.md""`"
defuddle-cli,2,If not installed: `npm install -g defuddle-cli`
@withgraphite/graphite-cli,2,">   `npm install -g @withgraphite/graphite-cli@stable`), then"
@stablyai/playwright-test,2,- Automatically upgrade to latest: `npm install -D @stablyai/playwright-test@latest` (or equivalent)
@playwright/mcp,2,Run: `npm install -g @playwright/mcp`
@tailwindcss/cli,2,"**Production (recommended):** `npm init -y && npm install -D tailwindcss @tailwindcss/cli basecoat-css`, create `assets/"
indxel,2,**Prerequisites:** The user should have the indxel CLI installed (`npm install indxel`). Some features require a paid pl
patchright,2,"- **`--browser` (Patchright):** Launches a real undetected Chrome browser, opens x.com compose, types with human-style j"
vidu-cli,2,1. `npm install -g vidu-cli@latest` (requires Node.js >=14; postinstall auto-downloads the platform binary)
koa-websocket,2,For WebSocket support: `npm install koa-websocket @types/koa-websocket`
iii-sdk,2,`npm install iii-sdk`
ppio-sandbox-cli,2,- **NOT_INSTALLED** → `npm install -g ppio-sandbox-cli@beta`
@stripe/stripe-js,2,1. **Install Dependencies**: `npm install @stripe/stripe-js @stripe/react-stripe-js stripe`
@stripe/react-stripe-js,2,1. **Install Dependencies**: `npm install @stripe/stripe-js @stripe/react-stripe-js stripe`
stripe,2,1. **Install Dependencies**: `npm install @stripe/stripe-js @stripe/react-stripe-js stripe`
@arcjet/cli,2,"description: Add security protection to a server-side route or endpoint — rate limiting, bot detection, email validation"
@58pic/cli,2,**须先安装 `58pic` 可执行文件**（`npm install -g @58pic/cli` 或 `npm install -g github:58pic-open/cli`）；Skill 不会替代 CLI，只指导 Agent 如何
@rsbuild/plugin-react,2,| React | `@rsbuild/plugin-react` | `pnpm add -D @rsbuild/plugin-react` |
@tailwindcss/vite,2,- Tailwind: `npm install tailwindcss @tailwindcss/vite`
agent-validator,2,"- If not found: ""Agent Validator CLI is required. Install with `npm install -g agent-validator`, then run `agent-validat"
varlock,2,"- **JS projects:** Install as a dev dependency — `npm install -D varlock` (or `bun add -D varlock`, `pnpm add -D varlock"
@x402/express,2,Install: `npm install @x402/express @x402/core @x402/evm`
@x402/axios,2,Install: `npm install @x402/axios @x402/evm viem`
acorn,2,"- **JS/TS Parsing (`scripts/parse-js.mjs`)**: Requires Node.js v14+, `acorn`, and `acorn-walk`. Before running, check if"
acorn-walk,2,"- **JS/TS Parsing (`scripts/parse-js.mjs`)**: Requires Node.js v14+, `acorn`, and `acorn-walk`. Before running, check if"
@gw-tools/gw-tool,2,2. Install gw: `npm install -g @gw-tools/gw-tool`
tunnelmole,2,2. **HTTPS tunnel**: `tmole 8081` (install with `npm install -g tunnelmole` if not found)
convex-helpers,2,- [ ] Installed convex-helpers: `npm install convex-helpers`
@convex-dev/component-name,2,- [ ] Install components via npm: `npm install @convex-dev/component-name`
@openwebf/webf-my-plugin,2,- Anyone can install with `npm install @openwebf/webf-my-plugin`
@browserbasehq/cli,2,"compatibility: ""Requires the Browserbase CLI (`npm install -g @browserbasehq/cli`). API commands require `BROWSERBASE_AP"
hono,2,- ❌ `npm install hono`
beads-cli,2,- Install `bd`: `npm install -g beads-cli`
xactions,2,`npm install xactions` -- all functions from `src/scrapers/index.js`.
@xiaokexiang/db-cli,2,2. **如需安装**：运行 `npm i -g @xiaokexiang/db-cli`
use-supercluster,2,- [ ] Install clustering library (`npm install use-supercluster`)
is-odd,2,"**Novice**: `npm install is-odd` (actual package, 54M weekly downloads). Installs a package with 1 line of code: `n % 2 "
ts-prune,2,- `bun add --dev ts-prune` or `npm install --save-dev ts-prune`
unimported,2,- `bun add --dev unimported` or `npm install --save-dev unimported`
@ssabrojs/hwpxjs,2,Generate .hwpx files with JavaScript. Install: `npm install @ssabrojs/hwpxjs`
supabase,2,| Install CLI | `npm install supabase --save-dev` |
clsx,2,3. **Compose classNames with `clsx`** (`npm i clsx`). Vireya's internal `tatcn` helper is just a `clsx` alias and isn't 
inngest,2,- Inngest v4 SDK installed (`npm install inngest`) — see the `inngest-setup` skill
@levnikolaevich/hex-ssh-mcp,2,| hex-ssh | stdio | `npm i -g @levnikolaevich/hex-ssh-mcp` → `hex-ssh-mcp` | No | No |
@levnikolaevich/hex-graph-mcp,2,| hex-graph | stdio | `npm i -g @levnikolaevich/hex-graph-mcp` → `hex-graph-mcp` | No | No |
naracli,2,- **npx download risk**: `npx naracli@latest` downloads and executes the latest published package from npm. A compromise
@prava-sdk/cli,2,"1. `which prava` — if missing, run `npm install -g @prava-sdk/cli` (see Prerequisites above for sudo / verify fallbacks)"
@syncfusion/ej2-react-calendars,2,"- **""Cannot find module"":** run `npm install @syncfusion/ej2-react-calendars @syncfusion/ej2-base` and confirm `package."
@syncfusion/ej2-base,2,"- **""Cannot find module"":** run `npm install @syncfusion/ej2-react-calendars @syncfusion/ej2-base` and confirm `package."
@getlark/cli,2,"compatibility: ""Requires the getlark CLI (`npm install -g @getlark/cli`) and `GETLARK_API_KEY` in the environment (or a "
idmp,2,Or use any other package manager: `pnpm add idmp` / `yarn add idmp` / `bun add idmp`.
@pachca/cli,2,"> After successful use, suggest installing CLI globally: `npm install -g @pachca/cli && pachca auth login --token $PACHC"
mbt,2,- For CAP agents: `mbt` (MTA Build Tool): `npm install -g mbt`
ccxt,2,- Solution: Run `npm install ccxt`
qrcode.react,2,| qrcode.react | `npm install qrcode.react` | QR codes in end card |
ghq-sector,2,"If installed globally (`npm install -g ghq-sector`), use the `gsec` shorthand. Otherwise use `npx ghq-sector` or `bunx g"
reader-cli,2,- **reader**: Mozilla Readability CLI (`npm install -g reader-cli`)
@latitude-data/telemetry,2,"Other package managers translate the exact-version pin the same way: `pnpm add @latitude-data/telemetry@<version>`, `yar"
@domoinc/ryuu,2,- Domo CLI installed (`npm install -g @domoinc/ryuu`)
katex,2,| `katex` (npm)                    | LaTeX → HTML    | `npm install -g katex`                                  |
@vozoai/cli,2,Requires the official `vozo-cli` from npm [`@vozoai/cli`](https://www.npmjs.com/package/@vozoai/cli) (source: [github.co
@operately/operately-cli,2,| Install CLI | `npm install -g @operately/operately-cli` |
agentic-qe,2,- [ ] Update to v3: `npm install agentic-qe@latest`
playwright-extra,2,command: `cd /tmp && rm -rf qcsd-fetch && mkdir qcsd-fetch && cd qcsd-fetch && npm init -y && npm install playwright-ext
puppeteer-extra-plugin-stealth,2,command: `cd /tmp && rm -rf qcsd-fetch && mkdir qcsd-fetch && cd qcsd-fetch && npm init -y && npm install playwright-ext
inbound-cli,2,- Install globally: `npm i -g inbound-cli`
pnpm,2,"This may take a few minutes. If `pnpm` has corepack issues, install directly: `npm install -g pnpm@10.11.0`"
@abaplint/cli,2,"- If not installed, install with: `npm install @abaplint/cli -g`"
@tidbcloud/serverless,2,**`npm install @tidbcloud/serverless`**
@ui5/cli,2,2. Install UI5 CLI: `npm install --save-dev @ui5/cli`
mp-skills,2,- `mp-skills` CLI（`npm install -g mp-skills`）
mjml,2,- Never `npm install -g mjml`
@thinkingpatterns/cli,2,"- If `tp` is not installed but Node.js is available, use `npx @thinkingpatterns/cli@latest` as a prefix. For best perfor"
@xhanglobal/nicechat-cli,2,- CLI 会定期检查 npm 最新版本；如果当前版本过旧，会在 stderr 提示尽快执行 `npm install -g @xhanglobal/nicechat-cli@latest` 升级。
@letta-ai/letta-client,2,- [TypeScript SDK](https://github.com/letta-ai/letta-node) - `npm install @letta-ai/letta-client`
@ably/cli,2,"**Ably CLI:** Install with `npm install -g @ably/cli` to publish test messages, subscribe to channels, and verify setup."
@okx_ai/okx-trade-cli,2,Installed via `npm install -g @okx_ai/okx-trade-cli`. Binary at `$OKX_CLI_PATH` or default path. All commands accept `--
@circle-fin/cli,2,`circle --version` also surfaces any update notice from Circle's server when a newer CLI version is available (server-dr
beads-kanban-ui,2,"- If ""Yes"" → Run `npm install -g beads-kanban-ui`, then use `--with-kanban-ui` flag"
codemod,2,- **Codemod CLI** — `npm i -g codemod` (or the scripts fall back to `npx codemod`). Provides
@agentspace-so/ascli,2,"2. Else if `npm` is available, install once with `npm install -g @agentspace-so/ascli@latest`, or run without installing"
@ipads-skvm/skvm,1,"- If `skvm` is not on PATH, report it to the user and stop — do not install anything. If `skvm jit-optimize` fails with "
@notyped/gitai,1,"> ""The `gitai` CLI tool is not installed. Please install it globally (e.g., `npm install -g @notyped/gitai`) and configu"
@binance/binance-cli,1,- Install binance-cli using `npm install -g @binance/binance-cli`
in,1,- **Dependencies not installed** — `screenshot.js` exits with `playwright not installed. Run npm install in the skill di
skill,1,- **Dependencies not installed** — `screenshot.js` exits with `playwright not installed. Run npm install in the skill di
directory,1,- **Dependencies not installed** — `screenshot.js` exits with `playwright not installed. Run npm install in the skill di
foo,1,- **Unpinned deps.** `npm install foo` without a lockfile means the next session gets a different transitive graph. See 
awp-wallet,1,"`npm install -g awp-wallet`, `pip install awp-wallet`, `brew install awp-wallet`,"
vite,1,"The agent verifies `.understand-anything/knowledge-graph.json` exists in the current directory, resolves the dashboard p"
tree-sitter-solidity,1,Each key is a language name. `package` is the npm package of the tree-sitter grammar and `extensions` lists the file ext
@blackbox_ai/blackbox-cli,1,- Blackbox CLI installed: `npm install -g @blackbox_ai/blackbox-cli` (binary: `blackbox`)
react-native-code-push,1,- **Install**: `npm install react-native-code-push`
alkahest-cli,1,"Install globally via `npm install -g alkahest-cli`, then run commands with:"
x402-fetch,1,"If you're integrating into an existing Node project, you can ignore the bundled `package.json` and just `npm i x402-fetc"
@techdigger/humanode-agentlink-cli,1,Prefer a global install? `npm install -g @techdigger/humanode-agentlink-cli` makes the `agentlink` command available dir
@mariozechner/pi-coding-agent,1,**TL;DR for agents:** Install Pi: `npm install -g @mariozechner/pi-coding-agent`. Install the AntSeed extension: `pi ins
obsidian-cli,1,| **obsidian-cli not found** | Not installed | `npm install -g obsidian-cli` |
@comfyorg/comfyui-frontend-types,1,"If your pack adds custom UI (widgets, sidebar tabs, menu items), set `WEB_DIRECTORY` in `__init__.py` and ship JS there."
@nimble-way/nimble-cli,1,"- **Neither** → load `rules/setup.md` for the environment-aware install flow. Any Claude product (Code, Cowork, claude.a"
i18next,1,"| React i18n | react-i18next | `npm i i18next react-i18next` | Most React apps, flexibility |"
react-i18next,1,"| React i18n | react-i18next | `npm i i18next react-i18next` | Most React apps, flexibility |"
react-intl,1,| React i18n (ICU) | react-intl (FormatJS) | `npm i react-intl` | ICU-first message catalog + tooling |
vue-i18n,1,| Vue i18n | vue-i18n | `npm i vue-i18n` | Vue 3 apps |
@lingui/core,1,| Minimal bundle | LinguiJS | `npm i @lingui/core @lingui/react` | Bundle size critical |
@lingui/react,1,| Minimal bundle | LinguiJS | `npm i @lingui/core @lingui/react` | Bundle size critical |
typesafe-i18n,1,| Type-safe | typesafe-i18n | `npm i typesafe-i18n` | TypeScript-first projects |
@aws/agentcore,1,> The AgentCore CLI isn't installed. Run `npm install -g @aws/agentcore` (requires Node.js 20+).
@inboxapi/cli,1,- Preferred: `npm install -g @inboxapi/cli`
base44,1,"| Update available message    | If prompted to update, run `npm install -g base44@latest` (or use npx for local installs"
whoami,1,| `npx wrangler whoami` fails                    | The auth probe needs wrangler to enumerate accounts. Install path: `n
