package,mentions,classification,has_bin,description,keywords,error
ajv,4,library,False,Another JSON Schema Validator,"JSON,schema,validator,validation,jsonschema,json-schema,json-schema-validator,json-schema-validation",
pm2,4,cli,True,Production process manager for Node.JS applications with a built-in load balancer.,"cli,fault tolerant,sysadmin,tools,pm2,logs,log,json,express,hapi,kraken,reload,load balancer,lb,load-balancer,kubernetes,k8s,pm2-docker,runtime,source maps,graceful,microservice,programmatic,harmony,node-pm2,production,keymetrics,node.js monitoring,strong-pm,deploy,deployment,daemon,supervisor,supervisord,nodemon,pm2.io,ghost,ghost production,monitoring,keymetrics,process manager,forever,profiling,probes,apm,container,forever-monitor,keep process alive,process configuration,clustering,cluster cli,cluster,docker,cron,devops,dev ops",
remotion,4,library,False,Make videos programmatically,"video,creation,editor,react,player",
lighthouse,4,cli,True,"Automated auditing, performance metrics, and best practices for the web.","google,chrome,devtools",
cloudinary-video-player,4,library,False,Cloudinary Video Player,"dash,hls,html5,player,video,videojs,cloudinary",
@google/stitch-sdk,4,library,False,Generate UI screens from text prompts and extract their HTML and screenshots programmatically.,"stitch,mcp,ui,generative-ai,google",
@tiny-fish/cli,4,cli,True,TinyFish CLI — run web automations from your terminal,,
playwright-core,4,cli,True,A high-level API to automate web browsers,,
mysql2,4,likely-cli (no bin field found),False,"fast mysql driver. Implements core protocol, prepared statements, ssl and compression in native JS","mysql,client,server",
@cobo/agentic-wallet,4,library,False,Unified wallet engine for human and agent principals,"openapi,cobo,agentic,wallet,sdk",
@qfei-design/make-filter,4,library,False,"Headless Make advanced filter model, React panel, and optional host component adapters.",,
@qfei-design/canvas-table,4,library,False,A high-performance canvas-based table library for browser web apps,"canvas,table,component,typescript,react,browser",
@axe-core/playwright,4,library,False,Provides a method to inject and analyze web pages using axe,"a11y,unit,testing,tdd,bdd,accessibility,axe,playwright,axe-core",
anti-detect-browser,4,cli,True,"Anti-detect browser client SDK powered by the Engine runtime and Playwright CDP (Windows, macOS + Linux)","anti-detect,browser,engine,playwright,stealth",
mcp-remote,4,cli,True,"Remote proxy for Model Context Protocol, allowing local-only clients to connect to remote servers using oAuth","mcp,stdio,sse,remote,oauth",
@webflow/react,4,library,False,"The core React integration package for building Webflow code components. This package provides the essential tools for declaring components, rendering",,
bn.js,4,library,False,Big number implementation in pure javascript,"BN,Big number,BigNum,Modulo,Montgomery",
@jup-ag/lend,4,library,False,```sh npm install @jup-ag/lend ```,,
@jup-ag/lend-read,4,library,False,utils for jup lend,,
@beads/bd,3,cli,True,Beads issue tracker - lightweight memory system for coding agents with native binary support,"issue-tracker,dependency-tracking,ai-agent,coding-agent,claude,sqlite,git,project-management",
@orth/cli,3,cli,True,CLI to access all APIs and skills on the Orthogonal platform,"orthogonal,api,cli,ai-agents,skills,mcp",
resend,3,library,False,Node.js library for the Resend API,,
mcp,3,cli,True,,"mcp,model context protocol",
my-sdk,3,unknown,False,,,HTTP 404
next-intl,3,library,False,Internationalization (i18n) for Next.js,"react,intl,i18n,internationalization,localization,translate,translation,format,formatting,next,next.js",
z-schema,3,cli,True,"Fast, lightweight JSON Schema validator for Node.js and browsers — full support for draft-04, draft-06, draft-07, draft-2019-09, and draft-2020-12 (la","draft-04,draft-06,draft-07,draft-2019-09,draft-2020-12,esm,json,json-schema,json-schema-validator,jsonschema,schema,typescript,validation,validator",
@steipete/summarize,3,cli,True,Link → clean text → summary.,,
@xai-official/grok,3,cli,True,Bring Grok into your terminal,,
just-scrape,3,cli,True,ScrapeGraph AI CLI tool,"cli,scraping,ai,scrapegraph",
gsap,3,library,False,GSAP is a framework-agnostic JavaScript animation library that turns developers into animation superheroes. Build high-performance animations that wor,"GSAP,GreenSock,animation,MotionPathPlugin,motion,motionPath,matchMedia,easing,ScrollTrigger,ScrollSmoother,Observer,JavaScript,PixiPlugin,CustomEase,Flip,SVG,3D,2D,transform,morph,morphing,tweening,Webflow",
newman,3,cli,True,Command-line companion utility for Postman,"newman,postman,api,testing,ci,rest-client,rest",
@vectorize-io/hindsight-client,3,likely-cli (no bin field found),False,TypeScript client for Hindsight - Semantic memory system with personality-driven thinking,"hindsight,memory,api,client,typescript",
rebrowser-playwright,3,cli,True,A drop-in replacement for playwright patched with rebrowser-patches. It allows to pass modern automation detection tests.,"rebrowser,rebrowser-patches,automation,bot,bot-detection,captcha,scraping,web-scraping,playwright,chrome,headless,automation",
@scoutqa/cli,3,cli,True,Command-line interface for the Scout QA automation platform.,"scoutqa,scout,cli,qa,testing,automation",
@mem0/cli,3,cli,True,The official CLI for mem0 — the memory layer for AI agents,"mem0,memory,ai,agents,cli",
typescript-language-server,3,cli,True,Language Server Protocol (LSP) implementation for TypeScript using tsserver,,
dep,3,cli,True,A little Node.js dependency installer for module end-users,npm,
@adobe/aem-cli,3,cli,True,AEM CLI,,
@quicknode/x402,3,library,False,"Quicknode x402 client — multi-chain payment, SIWX auth, session management",,
@alibaba-group/open-code-review,3,cli,True,OpenCodeReview CLI — AI-powered code review tool,,
pg,3,library,False,PostgreSQL client - pure javascript & libpq with the same API,"database,libpq,pg,postgre,postgres,postgresql,rdbms",
update,3,cli,True,"Be scalable! Update is a new, open source developer framework and CLI for automating updates of any kind in code projects.","convention,dev,develop,fix,lint,maintain,manage,standard,tools,up-to-date,update",
@larksuite/cli,3,cli,True,The official CLI for Lark/Feishu open platform,,
pinme,3,cli,True,Deploy Your Frontend In a Single Command,"ipfs,cli,deploy,frontend",
@ai-sdk/anthropic,3,library,False,The **[Anthropic provider](https://ai-sdk.dev/providers/ai-sdk-providers/anthropic)** for the [AI SDK](https://ai-sdk.dev/docs) contains language mode,ai,
langchain,3,library,False,Typescript bindings for langchain,"llm,ai,gpt3,chain,prompt,prompt engineering,chatgpt,machine learning,ml,openai,embeddings,vectorstores",
openai,3,library,False,The official TypeScript library for the OpenAI API,,
mercadopago,3,library,False,Mercadopago SDK for Node.js,"api,mercadopago,checkout,payment,ipn,sdk,integration",
npm-check-updates,3,cli,True,Find newer versions of dependencies than what your package.json allows,"dependencies,npm,package.json,update,upgrade,versions",
daisyui,3,library,False,daisyUI 5 - The Tailwind CSS Component Library,"daisyui,tailwind,tailwindcss,tailwind css,tailwind react,tailwind vue,tailwind plugin,tailwind component,tailwind next,tailwind nuxt,tailwind svelte,tailwind css plugin,tailwind astro,tailwind laravel,tailwind rails,react,css,ui,vue,component,framework,nextjs,front-end,laravel,theme,nuxt,svelte,astro,component library,css library",
prisma,3,cli,True,"Prisma is an open-source database toolkit. It includes a JavaScript/TypeScript ORM for Node.js, migrations and a modern GUI to view and edit the data ","CLI,ORM,Prisma,Prisma CLI,prisma2,database,db,JavaScript,JS,TypeScript,TS,SQL,SQLite,pg,Postgres,PostgreSQL,CockroachDB,MySQL,MariaDB,MSSQL,SQL Server,SQLServer,MongoDB,MCP",
migrate,3,cli,True,Abstract migration framework for node,"migrate,migrations",
init,3,library,False,Turn your node daemon into an LSB-like init script,"daemon,init,service,LSB",
next,3,cli,True,The React Framework,"react,framework,nextjs,web,server,node,front-end,backend,cli,vercel",
add-plugin,3,cli,True,Install open-plugin format plugins into agent tools,,
project,3,cli,True,create projects,,
@agent-eyes/agent-eyes,3,library,False,"Click the dom on the page, it will open your IDE and position the cursor to the source code location of the dom.","webpack,vite,plugin,vue,vscode,inspector,inspect",
elm-review,3,cli,True,Run elm-review from Node.js,"elm,review,elm-review,lint,linter,check,cli,AST",
@cognite/dune,3,cli,True,Build and deploy React apps to Cognite Data Fusion,,
@cognite/sdk,3,library,False,The package `@cognite/sdk` provides convenient access to the stable [Cognite API](https://doc.cognitedata.com/dev/) from applications written in clien,,
react-pdf,3,library,False,Display PDFs in your React app as easily as if they were images.,"pdf,pdf-viewer,react",
@sinclair/typebox,3,library,False,Json Schema Type Builder with Static Type Resolution for TypeScript,"typescript,json-schema,validate,typecheck",
ajv-formats,3,library,False,Format validation for Ajv v7+,"Ajv,JSON-Schema,format,validation",
lodash,3,library,False,Lodash modular utilities.,"modules,stdlib,util",
felo-ai,3,cli,True,"Felo AI CLI - real-time search, PPT generation, SuperAgent conversation, LiveDoc management, web fetch, YouTube subtitles, LiveDoc knowledge base, and","felo,felo-ai,search,slides,superagent,livedoc,web-fetch,youtube-subtitles,x-search,twitter,livedoc,knowledge-base,cli,ai",
hyperstack-cli,3,cli,True,Hyperstack CLI - Real-time Solana streaming pipelines,"hyperstack,solana,streaming,cli,blockchain,web3",
@bithumb-official/bithumb-cli,3,cli,True,Bithumb Trade CLI,"bithumb,cli,trade,exchange,cryptocurrency",
next-themes,3,library,False,An abstraction for themes in your React app.,,
telnyx,3,library,False,"Telnyx API SDK for global Voice, SMS, MMS, WhatsApp, Fax, Wireless IoT, SIP Trunking, and Call Control.",,
@x402/core,3,library,False,x402 Payment Protocol,,
oh-my-mermaid,3,cli,True,Architecture mirror for vibe coding — CLI + Claude Code skills,"mermaid,architecture,diagram,claude-code,vibe-coding",
@freshworks/fdk,3,unknown,False,,,HTTP 404
husky,3,cli,True,Modern native Git hooks,"git,hooks,pre-commit",
@ast-grep/cli,3,cli,True,Search and Rewrite code at large scale using precise AST pattern,"ast,pattern,codemod,search,rewrite",
@onboardjs/core,3,library,False,Headless core logic for dynamic onboarding flows.,"onboardjs,onboarding,core,headless,typescript",
@onboardjs/react,3,library,False,Official React bindings for OnboardJS.,"onboarding,react,hooks,typescript,onboardjs",
@dinoxx/dinox-cli,3,cli,True,Dinox CLI,,
@anthropic-ai/claude-agent-sdk,3,library,False,SDK for building AI agents with Claude Code's capabilities. Programmatically interact with Claude to build autonomous agents that can understand codeb,"ai,agent,sdk,claude,anthropic,automation,code-generation",
bsv-bap,3,cli,True,BAP npm module,,
@bong/claude-frontend-skills,3,unknown,False,,,HTTP 404
@drupal-canvas/workbench,3,cli,True,"Canvas Workbench is a local preview and development app for Drupal Canvas Code Components, inspired by Storybook. It scans your project, lists discove",,
@testing-library/react,3,library,False,Simple and complete React DOM testing utilities that encourage good testing practices.,"testing,react,ui,dom,jsdom,unit,integration,functional,end-to-end,e2e",
gmgn-cli,3,cli,True,"GMGN OpenAPI CLI — call GMGN market, token, portfolio and swap APIs from the command line","gmgn,crypto,solana,token,defi,swap,portfolio,market,claude-skill",
tldraw,3,library,False,A tiny little drawing editor.,"tldraw,sdk,drawing,app,development,whiteboard,canvas,infinite",
playwriter,3,cli,True,,,
@sparkjsdev/spark,3,library,False,An advanced 3D Gaussian Splatting renderer for THREE.js,"3d,three.js,gsplats,3dgs,gaussian,splats",
lefthook,3,cli,True,Simple git hooks manager,"git,hook,manager",
@xano/cli,3,cli,True,CLI for Xano's Metadata API,oclif,
@levnikolaevich/hex-line-mcp,3,cli,True,"Hash-verified file editing MCP + token efficiency hook for AI coding agents. 9 tools: inspect_path, read, edit, write, grep, outline, verify, changes,","mcp,hex-line,ast,outline,file-edit,coding-agent,model-context-protocol,hash-verified,token-efficiency,hook,bulk-replace,claude,ai,llm",
@syncfusion/ej2-react-inputs,3,library,False,"A package of Essential JS 2 input components such as Textbox, Color-picker, Masked-textbox, Numeric-textbox, Slider, Upload, and Form-validator that i","react,reactjs,ej2-react-inputs,react-inputs,react-colorpicker,react-colorpalette,react-mask,react masked textbox,react-numeric,react numeric input,react numeric textbox,react number textbox,react slider,react ui slider,react ui components,react ui slider components,react-upload,react-upload-box,react-input-file,react-chunk-upload,react-rating,react smart textarea,react smart text area",
artillery,3,cli,True,Cloud-scale load testing. https://www.artillery.io,"load testing,stress testing,benchmark,performance,blackbox testing",
mysql,3,library,False,"A node.js driver for mysql. It is written in JavaScript, does not require compiling, and is 100% MIT licensed.",,
@haoxu/cli,3,cli,True,号续 Agent Bridge CLI — 供各类 Agent（Cursor / Claude Code / Codex / WorkBuddy / Trae 等）查询与维护本机号续数据,"haoxu,号续,wechat,agent,cli,cursor,claude",
@liberfi.io/cli,3,cli,True,CLI tool for LiberFi OpenAPI server,,
taze,3,cli,True,A modern CLI tool that keeps your dependencies fresh in any repo and monorepo,,
linearis,3,cli,True,"CLI tool for Linear.app with JSON output, smart ID resolution, and optimized GraphQL queries. Designed for LLM agents and humans who prefer structured","linear,agents,llm,ticketing,cli",
@webflow/cli,3,unknown,False,,,HTTP 404
unbrowse,3,cli,True,"Route/action layer for AI agents: one call (unbrowse ""task"" --url) reuses first-party site routes instead of browser loops. In-process CLI + Agent Ski",,
mineru-open-api,2,cli,True,MinerU Open API CLI — one command to turn documents into Markdown,"mineru,pdf,markdown,ocr,document-parsing,cli",
some-tool,2,library,False,Personal JavaScript Utils,,
@iansinnott/notion-cli,2,cli,True,A CLI for the official Notion API,"notion,cli,command,line",
@context-hub/cli,2,unknown,False,,,HTTP 404
twilio-cli,2,cli,True,Unleash the power of Twilio from your command prompt. Visit https://twil.io/cli for don.,oclif,
@sendgrid/mail,2,library,False,Twilio SendGrid NodeJS mail service,,
@ant-design/cli,2,cli,True,CLI tool for querying antd knowledge and analyzing antd usage in projects,"ant-design,antd,cli,component,react",
react-email,2,cli,True,A live preview of your emails right in your browser.,"react,email",
cloudsploit,2,cli,True,AWS security scanning scripts,"aws,cloud,security",
@microsoft/winappcli,2,cli,True,Windows App Development CLI and BuildTools utilities for Node.js native addon development,"windows,sdk,buildtools,nuget,cppwinrt,windows-app-sdk,native-addon,typescript",
package,2,library,False,Easy package.json exports.,package.json,
@heroui/styles,2,library,False,HeroUI core styles and Tailwind plugin,,
@heroui/react,2,library,False,🚀 Beautiful and modern React UI library built with Tailwind CSS 4.0.,"next,next ui,hero ui,components,modern components,react components,react ui",
tailwind-variants,2,library,False,🦄 Tailwindcss first-class variant API,"tailwindcss,classes,responsive,variants,styled,styles",
@mvanhorn/printing-press,2,cli,True,Installer and catalog CLI for Printing Press-generated CLIs.,"cli,claude,agent,go,openapi,skills,printing-press,installer",
@defillama/api,2,library,False,TypeScript SDK for DefiLlama API,"defillama,defi,tvl,cryptocurrency,api,sdk",
@shopify/shop-cli,2,cli,True,"Personal shopping CLI for Shop catalog search, checkout, and order workflows",,
@actionbookdev/cli,2,cli,True,Actionbook CLI - Browser automation for AI agents,"actionbook,cli,ai-agent,browser-automation",
karma,2,cli,True,Spectacular Test Runner for JavaScript.,"karma,spectacular,runner,karma,js,javascript,testing,test,remote,execution",
karma-jasmine,2,library,False,A Karma plugin - adapter for Jasmine testing framework.,"karma-plugin,karma-adapter,jasmine",
karma-chrome-launcher,2,library,False,A Karma plugin. Launcher for Chrome and Chrome Canary.,"karma-plugin,karma-launcher,chrome",
karma-coverage,2,library,False,A Karma plugin. Generate code coverage.,"karma-plugin,karma-preprocessor,karma-reporter,coverage,istanbul",
nightwatch,2,cli,True,Easy to use Node.js based end-to-end testing solution for web applications using the W3C WebDriver API.,"nightwatch,nightwatchjs,selenium,testing,webdriver,browserstack,end-to-end,automated-testing,e2e,component,integration,test,browser,mobile,runner,appium,cucumber,mocha,automation",
jasmine,2,cli,True,"CLI for Jasmine, a simple JavaScript testing framework for browsers and Node","test,testing,jasmine,tdd,bdd",
nemo,2,cli,True,Wrapper to run mocha suites with injected selenium-webdriver instance,"nemo,mocha,selenium,parallel",
nemo-view,2,library,False,selenium-webdriver abstractions and locator organization plugin for nemo,"Nemo,view,interface",
mocha,2,cli,True,"simple, flexible, fun test framework","mocha,test,bdd,tdd,tap,testing,chai,assertion,ava,jest,tape,jasmine,karma",
chai,2,library,False,BDD/TDD assertion library for node.js and the browser. Test framework agnostic.,"test,assertion,assert,testing,chai",
sinon,2,library,False,"JavaScript test spies, stubs and mocks.","sinon,test,testing,unit,stub,spy,fake,time,clock,mock,xhr,assert",
@tencent-qqmail/agently-cli,2,cli,True,Agent-first mail CLI for Agently,"agently,mail,cli,email,qqmail",
chat,2,library,False,"Chat SDK — universal TypeScript toolkit for building multi-platform chat bots and AI agents on Slack, Teams, Google Chat, Discord, WhatsApp, and more","chat,chat-sdk,chatbot,chat-bot,bot,bot-framework,messaging,multi-platform,slack,teams,microsoft-teams,discord,google-chat,telegram,whatsapp,github,webhook,ai-agent,ai-sdk,typescript,vercel",
@capawesome/cli,2,cli,True,The Capawesome Cloud Command Line Interface (CLI) to manage Live Updates and more.,"capawesome,cli,capacitor",
@cloudcli-ai/cloudcli,2,cli,True,A web-based UI for Claude Code CLI,"claude code,claude-code,claude-code-ui,cloudcli,codex,cursor,cursor-cli,anthropic,openai,google,coding-agent,web-ui,ui,mobile IDE",
@ulpi/browse,2,cli,True,"Fast headless browser and native app automation CLI for AI coding agents. Android, iOS, and macOS.","browser,automation,playwright,headless,cli,ai-agent,claude,android,ios,macos,mobile-testing,accessibility",
@ulpi/codemap,2,cli,True,"Standalone code intelligence CLI — hybrid vector + BM25 search, dependency analysis, PageRank",,
expo,2,cli,True,The Expo SDK,expo,
babel-preset-expo,2,library,False,The Babel preset for Expo projects,"babel,babel-preset,expo,expo-web,react-native,react-native-web,metro,webpack",
kbo-game,2,library,False,KBO 야구 경기 정보를 가져오는 npm 라이브러리입니다,,
@opendataloader/pdf,2,cli,True,A Node.js wrapper for the opendataloader-pdf Java CLI.,"pdf,markdown,html,convert,pdf-convert,pdf-parser,pdf-parsing,pdf-to-json,pdf-to-markdown,pdf-to-html",
@inlang/paraglide-js,2,cli,True,[![NPM Downloads](https://img.shields.io/npm/dw/%40inlang%2Fparaglide-js?logo=npm&logoColor=red&label=npm%20downloads)](https://www.npmjs.com/package/,"inlang,paraglide,javascript i18n,i18n,l10n,translation,internationalization,svelte,localization,react,vue,angular,nextjs,react router,next i18n,astro,astro i18n,solid,solidstart,tanstack,tanstack router,tanstack start,rolldown,vite,vite-plugin,rollup-plugin",
@scope/pkg,2,unknown,False,,,HTTP 404
agent-slack,2,cli,True,Slack automation CLI for AI agents,,
@cyfrin/aderyn,2,cli,True,Rust based Solidity AST analyzer backend,,
@acme/sdk,2,unknown,False,,,HTTP 404
@fly-ai/flyai-cli,2,cli,True,飞猪酒店、机票查询命令行工具（streamable_http）,"flyai,飞猪,酒店,机票,门票,线路,cli",
gopls,2,library,False,security holding package,,
clangd,2,library,False,clangd language server binaries,,
ruby-lsp,2,library,False,security holding package,,
marksman,2,library,False,gun.js replacement function for .path().,"gun,gunDB,gunjs,gun.js",
@marp-team/marp-cli,2,cli,True,A CLI interface for Marp and Marpit based converters,"marp,markdown,cli,slide,deck,presentation",
@1claw/cli,2,cli,True,CLI for 1Claw — secrets management for AI agents and humans,"1claw,secrets,vault,cli,ai-agents,devops,ci-cd,npm,credentials,api-keys,mcp,zero-trust",
x402-axios,2,library,False,x402 Payment Protocol,,
@nookplot/runtime,2,library,False,"Agent Runtime SDK — persistent connection, events, memory bridge, and economy for AI agents on Nookplot",,
browserstack-local,2,library,False,Nodejs bindings for BrowserStack Local,"BrowserStack,Local,selenium,testing",
neon,2,cli,True,"CLI tool for Neon, the cloud backend primitives built around Lakebase Postgres","neon,neonctl,cli,postgres,database,serverless",
myapp,2,library,False,ERROR: No README.md file found!,,
@midscene/computer,2,cli,True,Midscene.js Computer Desktop Automation,,
@huggingface/transformers,2,library,False,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!","transformers,transformers.js,huggingface,hugging face,machine learning,deep learning,artificial intelligence,AI,ML",
@xenova/transformers,2,library,False,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!","transformers,transformers.js,huggingface,hugging face,machine learning,deep learning,artificial intelligence,AI,ML",
@convex-dev/stripe,2,library,False,A stripe component for Convex.,"convex,component",
@langchain/openai,2,library,False,OpenAI integrations for LangChain.js,"llm,ai,gpt3,chain,prompt,prompt engineering,chatgpt,machine learning,ml,openai,embeddings,vectorstores",
@anthropic-ai/sdk,2,cli,True,The official TypeScript library for the Anthropic API,,
@tinybirdco/sdk,2,cli,True,TypeScript SDK for Tinybird Forward - define datasources and pipes as TypeScript,"tinybird,analytics,typescript,sdk,clickhouse,cli",
@bradygaster/squad-cli,2,cli,True,Squad CLI — Command-line interface for the Squad multi-agent runtime,"copilot,multi-agent,squad,cli",
@cyclonedx/cdxgen,2,cli,True,Creates CycloneDX Software Bill of Materials (SBOM) from source or container image,"sbom,bom,inventory,spdx,package-url,purl,owasp,component,dependency,appsec,scrm",
promptfoo,2,cli,True,LLM eval & testing toolkit,,
@brightdata/cli,2,cli,True,"Command-line interface for Bright Data. Scrape, search, extract structured data, and automate browsers directly from your terminal.","brightdata,bright-data,cli,web-scraping,scraper,serp,data-extraction,proxy,unlocker,dataset",
webreel,2,cli,True,"Record scripted browser demos as MP4, GIF, or WebM with cursor animation, keystroke overlays, and sound effects.","video,recording,browser,demo,automation,headless,chrome,mp4,gif,webm,screencast",
silk-wasm,2,library,False,Tencent silk encoder for Node.js and browser,"silk,tencent,encoder,sdk,wasm,decoder,codec",
parallel-web-cli,2,cli,True,"CLI for the Parallel API — web search, data enrichment, and monitoring","parallel,cli,web-search,data-enrichment,ai",
@capgo/plugin-name,2,unknown,False,,,HTTP 404
@capacitor/camera,2,library,False,The Camera API provides the ability to take a photo with the camera or choose an existing one from the photo album.,"capacitor,plugin,native",
@capacitor/geolocation,2,library,False,"The Geolocation API provides simple methods for getting and tracking the current position of the device using GPS, along with altitude, heading, and s","capacitor,plugin,native",
@capacitor/device,2,library,False,"The Device API exposes internal information about the device, such as the model and operating system version, along with user information such as uniq","capacitor,plugin,native",
@capacitor/network,2,library,False,The Network API provides network and connectivity information.,"capacitor,plugin,native",
@capacitor/status-bar,2,library,False,"The StatusBar API Provides methods for configuring the style of the Status Bar, along with showing or hiding it.","capacitor,plugin,native",
@capacitor/splash-screen,2,library,False,The Splash Screen API provides methods for showing or hiding a Splash image.,"capacitor,plugin,native",
@capacitor/keyboard,2,library,False,"The Keyboard API provides keyboard display and visibility control, along with event tracking when the keyboard shows and hides.","capacitor,plugin,native",
@capacitor/dialog,2,library,False,"The Dialog API provides methods for triggering native dialog windows for alerts, confirmations, and input prompts","capacitor,plugin,native",
@capacitor/filesystem,2,library,False,The Filesystem API provides a NodeJS-like API for working with files on the device.,"capacitor,plugin,native",
@capacitor/browser,2,library,False,The Browser API provides the ability to open an in-app browser and subscribe to browser events.,"capacitor,plugin,native",
@capacitor/haptics,2,library,False,The Haptics API provides physical feedback to the user through touch or vibration.,"capacitor,plugin,native",
@capacitor/local-notifications,2,library,False,The Local Notifications API provides a way to schedule device notifications locally (i.e. without a server sending push notifications).,"capacitor,plugin,native",
@capacitor/push-notifications,2,library,False,The Push Notifications API provides access to native push notifications.,"capacitor,plugin,native",
@capacitor/plugin-name,2,unknown,False,,,HTTP 404
temml,2,library,False,TeX to MathML conversion in JavaScript.,,
fast-xml-parser,2,cli,True,"Validate XML, Parse XML, Build XML without C/C++ based libraries","fast,xml,json,parser,xml2js,x2js,xml2json,js,validator,validate,transformer,assert,js2xml,json2xml,html",
@earendil-works/pi-coding-agent,2,cli,True,"Coding agent CLI with read, bash, edit, write tools and session management","coding-agent,ai,llm,cli,tui,agent",
npm,2,cli,True,a package manager for JavaScript,"install,modules,package manager,package.json",
@larksuite/whiteboard-cli,2,cli,True,Headless whiteboard engine CLI — render auto-layout DSL JSON or Mermaid diagrams to PNG.,"whiteboard,diagram,cli,dsl,png,canvas,headless,mermaid",
@langchain/core,2,library,False,Core LangChain.js abstractions and schemas,"llm,ai,gpt3,chain,prompt,prompt engineering,chatgpt,machine learning,ml,openai,embeddings,vectorstores",
my-package,2,library,False,This is a sample package,"math,example",
voxflow,2,cli,True,"AI audio content creation CLI — stories, podcasts, narration, dubbing, transcription, translation, and video translation with TTS","tts,story,podcast,ai,audio,text-to-speech,voice,narration,dubbing,synthesize,voices,document,translate,subtitle,srt,transcribe,asr,video-translate,video,voxflow",
@wechatsync/cli,2,cli,True,WechatSync CLI - 命令行同步文章到多个平台,"wechat,sync,markdown,zhihu,juejin,csdn,publish,article,claude,ai",
@commet/node,2,library,False,Commet SDK for Node.js - Billing and usage tracking,"billing,sdk,typescript,payments,invoicing,usage-based-billing,seat-licensing",
@commet/next,2,library,False,Next.js integration for Commet billing platform,"commet,billing,nextjs,webhooks,typescript",
@commet/better-auth,2,library,False,Better Auth plugin for Commet integration,"commet,better-auth,billing,payments,subscriptions,authentication",
@commet/cli,2,unknown,False,,,HTTP 404
@annals/agent-mesh,2,cli,True,CLI bridge connecting local AI agents to the Agents.Hot platform,,
ox,2,library,False,Ethereum Standard Library,"ethereum,standard,library,typescript,evm",
langwatch,2,cli,True,LangWatch TypeScript/JavaScript SDK. Interact with the full LangWatch API and use the LangWatch OpenTelemetry SDK to instrument your application. For ,,
web-haptics,2,library,False,Haptic feedback for the mobile web.,"haptics,vibration,feedback,web,mobile,react,vue,svelte,typescript",
@types/node,2,library,False,TypeScript definitions for node,,
postmark,2,library,False,Official Node.js client library for the Postmark HTTP API - https://www.postmarkapp.com,,
@uipath/cli,2,cli,True,Cross platform CLI for UiPath,,
@ic-pay/icpay-sdk,2,library,False,"Official ICPay SDK for multi-chain crypto payments (EVM, Solana, Internet Computer)","icpay,payments,sdk,evm,base,solana,internet-computer,blockchain,crypto",
@paragraph-com/sdk,2,library,False,TypeScript SDK for Paragraph API,,
@covalenthq/client-sdk,2,library,False,"<div align=""center"">   <a href=""https://goldrush.dev/""  target=""_blank"" rel=""noopener noreferrer"">     <img alt=""GoldRush TS SDK Logo"" src=""../../repo",,
torph,2,library,False,Dependency-free animated text component.,"react,vue,svelte,text,animation,morph",
liveline,2,library,False,"Real-time animated charts for React — line, candlestick, and multi-series modes","react,chart,canvas,real-time,animation,line-chart,candlestick,ohlc,multi-series,multi-line",
dotenv,2,library,False,Loads environment variables from .env file,"dotenv,env,.env,environment,variables,config,settings",
@workos/authkit-tanstack-react-start,2,library,False,The WorkOS library for TanStack React Start provides convenient helpers for authentication and session management using WorkOS & AuthKit with TanStack,"auth,authentication,authkit,oauth,react,react-start,session,sso,tanstack,tanstack-start,workos",
@lessie/cli,2,cli,True,"Lessie CLI — people search, enrichment & web research from the command line","lessie,cli,people-search,b2b,enrichment",
magicpath-ai,2,cli,True,Node CLI for MagicPath,"magicpath,ai",
prettier,2,cli,True,Prettier is an opinionated code formatter,,
@flipswitch-io/sdk,2,unknown,False,,,HTTP 404
not,2,library,False,Returns the negation of a function,,
found,2,library,False,Extensible route-based routing for React applications,"react,router,routes,routing",
fizko-cli,2,cli,True,CLI para consultar datos tributarios y contables desde la API de Fizko,"fizko,tax,accounting,chile,sii,cli",
@angular/cdk,2,library,False,Angular Material Component Development Kit,"angular,cdk,component,development,kit",
@base-ui/react,2,library,False,Base UI is a library of headless ('unstyled') React components and low-level hooks. You gain complete control over your app's CSS and accessibility fe,"react,react-component,mui,unstyled,base-ui,a11y",
uipro-cli,2,cli,True,CLI to install UI/UX Pro Max skill for AI coding assistants,"ui,ux,design,claude,cursor,windsurf,copilot,kiro,trae,roocode,codex,qoder,ai,skill",
@angular/aria,2,library,False,Angular Aria,,
@codespring-app/cli,2,cli,True,CodeSpring CLI — project planning and management from the terminal,,
canvas,2,library,False,Canvas graphics API backed by Cairo,"canvas,graphic,graphics,pixman,cairo,image,images,pdf",
@lucasygu/redbook,2,cli,True,CLI tool for Xiaohongshu (Red Note) - read and post via private API,"xiaohongshu,redbook,xhs,red-note,cli,claude-code,claude-code-skill",
vanish-cli,2,cli,True,Publish temporary mini-sites and file URLs from your terminal.,"upload,html,static-site,screenshot,temporary,url,cli,claude-code",
@zvec/zvec,2,library,False,"A lightweight, lightning-fast, in-process vector database","vector database,ai,embedding,ann,In-process,code search",
counselors,2,cli,True,Fan out prompts to multiple AI coding agents in parallel,"ai,coding-agents,claude,codex,gemini,amp,parallel,multi-agent,cli",
chrome-remote-interface,2,cli,True,Chrome Debugging Protocol interface,"chrome,debug,protocol,remote,interface",
